edge_id,from_node_id,from_node_type,to_node_id,to_node_type,relationship,timestamp,order_id,category,customer_segment,edge_strength,price_bucket,region,state,campaign,same_household,prior_interactions,dwell_seconds,product_id,unit_price_usd,quantity,returned_flag,auth_approved
EDGE300095,C77696,Customer,P1783,Product,PURCHASED,2024-06-30 15:27:42,ORD101882,Books,New,0.93,$25-$50,LATAM,IN,SpringSale,False,3,13,P1783,36.1,2,False,True
EDGE300096,P3116,Product,P4407,Product,ALSO_BOUGHT_WITH,2025-04-12 18:11:00,ORD101293,Electronics,New,0.33,<$25,LATAM,CT,NewArrivals,False,7,38,P3116,15.86,2,False,False
EDGE300097,C63286,Customer,P2153,Product,ADDED_TO_CART,2025-01-19 00:21:52,,Beauty,New,0.974,>$250,LATAM,OR,SpringSale,False,4,10,P2153,688.66,2,False,False
EDGE300098,P7893,Product,P8165,Product,ALSO_BOUGHT_WITH,2025-02-22 11:16:29,ORD100696,Toys,Active,0.4,>$250,NA,FL,Clearance,False,0,43,P7893,254.39,1,False,False
EDGE300099,C58975,Customer,P3113,Product,VIEWED,2025-02-09 09:18:41,,Toys,Loyal,0.183,>$250,EU,MA,Loyalty,False,0,37,P3113,828.04,1,False,False
EDGE300100,C24986,Customer,P4571,Product,PURCHASED,2024-03-28 17:07:24,ORD102230,Apparel,AtRisk,0.904,>$250,NA,WI,BackToSchool,False,2,32,P4571,341.28,1,False,False
EDGE300101,P9939,Product,P1584,Product,ALSO_BOUGHT_WITH,2024-04-24 01:23:37,ORD100207,Beauty,New,0.497,$50-$100,EU,HI,Loyalty,False,3,65,P9939,91.66,1,False,False
EDGE300102,C27099,Customer,P9608,Product,VIEWED,2025-06-19 00:34:34,,Electronics,AtRisk,0.202,$100-$250,APAC,VT,NewArrivals,False,3,53,P9608,238.1,1,False,False
EDGE300103,C12776,Customer,P9800,Product,PURCHASED,2024-10-30 01:17:53,ORD100794,Grocery,New,0.446,>$250,APAC,CA,Loyalty,False,2,56,P9800,315.86,1,False,False
EDGE300104,C59091,Customer,C29304,Customer,REFERRED_FRIEND,2025-06-12 10:39:50,,Electronics,AtRisk,0.136,$50-$100,LATAM,HI,Loyalty,False,3,44,P7201,56.33,1,False,False
EDGE300105,C16468,Customer,P8076,Product,VIEWED,2024-02-18 00:33:23,,Beauty,Loyal,0.199,$100-$250,LATAM,MS,NewArrivals,False,4,37,P8076,233.27,1,False,False
EDGE300106,C44180,Customer,P4381,Product,VIEWED,2024-10-10 18:38:47,,Electronics,Active,0.964,$25-$50,LATAM,GA,SpringSale,False,4,76,P4381,32.3,1,False,False
EDGE300107,C20517,Customer,P3950,Product,ADDED_TO_CART,2024-05-07 12:41:11,,Toys,New,0.299,$25-$50,LATAM,VT,NewArrivals,False,5,5,P3950,27.08,1,False,False
EDGE300108,C56121,Customer,P1015,Product,VIEWED,2024-12-01 18:56:27,,Sports,AtRisk,0.604,$25-$50,APAC,MA,BackToSchool,False,3,5,P1015,29.89,1,False,False
EDGE300109,C69606,Customer,P1910,Product,VIEWED,2024-08-16 04:02:24,,Books,Active,0.468,$25-$50,APAC,MA,BackToSchool,False,3,71,P1910,40.46,1,False,False
EDGE300110,C42018,Customer,P7721,Product,ADDED_TO_CART,2024-06-06 22:03:10,,Sports,Active,0.982,$50-$100,NA,CO,Loyalty,False,3,32,P7721,62.5,1,False,False
EDGE300111,P8579,Product,P2439,Product,ALSO_BOUGHT_WITH,2024-12-19 23:45:03,ORD100689,Automotive,AtRisk,0.927,<$25,NA,UT,Clearance,False,3,57,P8579,14.1,4,False,False
EDGE300112,C74092,Customer,P1880,Product,VIEWED,2024-09-29 22:16:58,,Pets,AtRisk,0.148,$25-$50,NA,NH,Loyalty,False,3,7,P1880,46.7,1,False,False
EDGE300113,C82150,Customer,P3555,Product,VIEWED,2024-07-11 03:28:13,,Grocery,New,0.247,$25-$50,NA,AR,Holiday,False,3,53,P3555,35.41,1,False,False
EDGE300114,C46799,Customer,P5062,Product,VIEWED,2024-09-22 11:43:02,,Toys,Active,0.655,$25-$50,EU,WA,Clearance,False,3,36,P5062,35.77,1,False,False
EDGE300115,C70482,Customer,P7972,Product,ADDED_TO_CART,2025-02-07 01:45:09,,Grocery,Loyal,0.337,$50-$100,NA,IA,NewArrivals,False,4,67,P7972,72.24,1,False,False
EDGE300116,C21089,Customer,C98494,Customer,REFERRED_FRIEND,2024-07-11 11:20:25,,Grocery,New,0.619,>$250,LATAM,SD,Loyalty,False,7,23,P7485,372.26,1,False,False
EDGE300117,C55517,Customer,P4045,Product,VIEWED,2025-05-17 13:28:14,,Books,AtRisk,0.754,$25-$50,APAC,VA,SpringSale,False,1,52,P4045,38.0,2,False,False
EDGE300118,C99843,Customer,P8367,Product,PURCHASED,2024-03-02 07:55:55,ORD100075,Pets,Active,0.479,<$25,EU,MD,SpringSale,False,5,59,P8367,19.64,1,False,True
EDGE300119,C89822,Customer,P4360,Product,ADDED_TO_CART,2025-01-12 09:36:02,,Books,AtRisk,0.311,$50-$100,NA,AK,None,False,3,5,P4360,59.4,1,False,False
EDGE300120,C43445,Customer,P2487,Product,PURCHASED,2024-11-29 21:46:23,ORD101848,Beauty,AtRisk,0.591,$25-$50,APAC,SD,SpringSale,False,1,20,P2487,31.2,1,False,True
EDGE300121,C89961,Customer,P6342,Product,RETURNS,2024-02-10 09:40:09,ORD102224,Electronics,Active,0.121,>$250,APAC,VT,Clearance,False,5,28,P6342,364.53,1,False,False
EDGE300122,C30223,Customer,C67607,Customer,REFERRED_FRIEND,2024-12-23 23:17:00,,Toys,Active,0.457,$50-$100,APAC,DC,Loyalty,False,4,36,P5546,76.22,1,False,False
EDGE300123,C72094,Customer,P5561,Product,VIEWED,2024-12-26 20:55:08,,Books,Active,0.636,$100-$250,LATAM,WA,NewArrivals,False,4,49,P5561,220.03,1,False,False
EDGE300124,C14228,Customer,C15353,Customer,REFERRED_FRIEND,2024-12-12 21:29:17,,Apparel,New,0.786,>$250,NA,UT,Clearance,False,3,65,P2874,398.15,1,False,False
EDGE300125,C52597,Customer,P9611,Product,ADDED_TO_CART,2024-08-02 04:52:45,,Beauty,Loyal,0.117,$50-$100,LATAM,AZ,Loyalty,False,3,77,P9611,74.92,2,False,False
EDGE300126,P9114,Product,P2817,Product,ALSO_BOUGHT_WITH,2024-04-18 14:21:15,ORD101980,Home,New,0.631,<$25,LATAM,WA,Loyalty,False,1,64,P9114,20.64,1,False,False
EDGE300127,C69654,Customer,P2553,Product,PURCHASED,2024-05-26 12:14:30,ORD101120,Pets,Loyal,0.856,$100-$250,APAC,OK,Holiday,False,2,26,P2553,201.07,1,True,True
EDGE300128,C83369,Customer,P9154,Product,ADDED_TO_CART,2024-08-03 23:15:02,,Electronics,Active,0.428,$100-$250,LATAM,NE,SpringSale,False,2,7,P9154,234.16,2,False,False
EDGE300129,C62016,Customer,P9715,Product,VIEWED,2024-07-16 10:42:19,,Sports,Active,0.805,<$25,APAC,LA,SpringSale,False,2,88,P9715,20.91,2,False,False
EDGE300130,C63584,Customer,P4730,Product,ADDED_TO_CART,2025-04-28 20:24:48,,Books,Active,0.879,>$250,APAC,OH,NewArrivals,False,2,47,P4730,286.05,1,False,False
EDGE300131,C14253,Customer,P8410,Product,PURCHASED,2024-09-23 12:53:26,ORD102351,Pets,Active,0.151,$50-$100,NA,NE,SpringSale,False,2,65,P8410,75.81,1,False,False
EDGE300132,P6311,Product,P8758,Product,ALSO_BOUGHT_WITH,2024-12-03 10:45:33,ORD100034,Electronics,AtRisk,0.142,<$25,EU,WI,BackToSchool,False,5,56,P6311,13.87,1,False,False
EDGE300133,C34746,Customer,P2756,Product,ADDED_TO_CART,2024-05-06 14:33:22,,Pets,New,0.528,$100-$250,EU,WI,Clearance,False,6,12,P2756,247.33,4,False,False
EDGE300134,C73550,Customer,P2402,Product,VIEWED,2025-06-06 12:37:05,,Automotive,Active,0.845,$25-$50,LATAM,CO,Clearance,False,2,33,P2402,49.51,3,False,False
EDGE300135,C35202,Customer,C95108,Customer,REFERRED_FRIEND,2024-07-11 19:58:37,,Apparel,Active,0.841,>$250,APAC,IL,None,False,0,83,P6760,258.66,1,False,False
EDGE300136,C94065,Customer,P5488,Product,VIEWED,2024-05-07 07:12:47,,Books,New,0.161,$50-$100,EU,VT,Clearance,False,6,24,P5488,60.59,1,False,False
EDGE300137,C18793,Customer,P5389,Product,VIEWED,2024-12-19 10:23:06,,Grocery,New,0.184,$100-$250,APAC,MN,NewArrivals,False,2,62,P5389,225.79,1,False,False
EDGE300138,C62274,Customer,P6551,Product,PURCHASED,2024-10-12 07:19:28,ORD101647,Sports,Dormant,0.21,$50-$100,EU,VA,BackToSchool,False,3,17,P6551,68.14,1,False,True
EDGE300139,C36035,Customer,C20900,Customer,REFERRED_FRIEND,2024-11-01 04:56:51,,Grocery,New,0.406,>$250,LATAM,PA,Holiday,True,6,25,P8689,429.88,1,False,False
EDGE300140,C62025,Customer,P9579,Product,RETURNS,2024-07-25 10:03:57,ORD101603,Toys,Dormant,0.785,$25-$50,EU,NJ,None,False,5,38,P9579,45.38,1,False,False
EDGE300141,C80066,Customer,P9768,Product,VIEWED,2025-01-27 22:36:34,,Toys,Active,0.765,$50-$100,LATAM,AZ,Holiday,False,8,51,P9768,52.67,2,False,False
