event_id,customer_id,session_id,event_type,event_ts,device_type,browser,os,referrer,country,state,ab_variant,is_logged_in,page_depth,latency_ms,dwell_seconds,cart_value_usd,discount_rate,fraud_score,payment_outcome,sequence_num,product_id,category,promo_code
EVT200088,C48037,S8166827395,checkout_start,2024-11-05 17:27:13,mobile,Edge,Linux,organic_search,DE,,A,True,8,410,5,63.17,0.032,0.382,,6,,,NONE
EVT200089,C22779,S8802006226,page_view,2024-12-24 10:33:40,desktop,Edge,Windows,organic_search,AU,,B,True,1,402,55,34.25,0.075,0.006,,8,,,FREESHIP
EVT200090,C92574,S4312625015,checkout_start,2024-01-08 16:48:19,tablet,Chrome,Windows,organic_search,MX,,B,True,5,477,28,147.51,0.159,0.446,,6,,,NONE
EVT200091,C77756,S5021572689,purchase,2024-05-30 12:19:12,desktop,Opera,iOS,organic_search,IN,,A,True,3,499,44,183.45,0.156,0.049,approved,2,P6327,Pets,NONE
EVT200092,C70536,S1297403561,page_view,2024-08-27 09:14:40,mobile,Chrome,Android,organic_search,AU,,A,False,3,419,76,14.76,0.007,0.0,,5,,,NONE
EVT200093,C95890,S9361014183,checkout_start,2024-09-25 20:04:19,mobile,Edge,Windows,paid_search,US,MD,B,True,5,514,60,81.24,0.121,0.331,,6,,,WELCOME10
EVT200094,C82688,S5489398468,product_view,2024-07-03 00:36:15,mobile,Firefox,iOS,direct,FR,,A,True,3,342,37,4.04,0.158,0.0,,5,P2290,Home,NONE
EVT200095,C95357,S9940085485,page_view,2025-05-03 08:54:26,mobile,Edge,macOS,direct,AU,,B,True,6,511,28,33.16,0.141,0.0,,10,,,NONE
EVT200096,C71405,S8125149745,add_to_cart,2024-05-11 17:35:50,mobile,Opera,Android,direct,FR,,A,True,3,316,11,128.11,0.156,0.156,,4,P8725,Books,WELCOME10
EVT200097,C52050,S8539234402,page_view,2024-05-17 06:44:51,mobile,Firefox,Android,paid_search,IN,,B,True,6,401,71,33.02,0.262,0.202,,4,,,NONE
EVT200098,C97052,S9289769356,purchase,2025-06-15 12:13:29,mobile,Safari,Windows,social,MX,,B,False,4,269,32,149.46,0.253,0.134,approved,3,P6107,Apparel,NONE
EVT200099,C32631,S5893155004,add_to_cart,2024-09-11 20:03:06,mobile,Firefox,macOS,direct,AU,,A,False,1,398,66,120.14,0.175,0.005,,7,P9020,Apparel,NONE
EVT200100,C58507,S6208460445,page_view,2024-11-15 00:43:41,mobile,Firefox,Linux,organic_search,DE,,B,True,5,297,17,16.01,0.21,0.14,,9,,,NONE
EVT200101,C15373,S4468964225,page_view,2025-03-29 17:10:52,desktop,Safari,iOS,social,DE,,A,True,1,278,68,43.34,0.119,0.06,,7,,,NONE
EVT200102,C84339,S4528384851,add_to_cart,2024-11-13 10:36:16,desktop,Chrome,iOS,direct,MX,,B,False,1,190,40,122.67,0.259,0.224,,7,P9217,Electronics,NONE
EVT200103,C82300,S9716050258,payment_attempt,2024-08-26 21:17:53,mobile,Chrome,Linux,direct,AU,,A,True,3,139,14,232.94,0.062,0.0,approved,7,,,WELCOME10
EVT200104,C69057,S9288612323,page_view,2024-05-17 18:02:14,mobile,Firefox,Windows,paid_search,IN,,B,True,2,327,58,27.99,0.205,0.132,,1,,,NONE
EVT200105,C32503,S9585285193,payment_attempt,2025-04-17 21:22:14,mobile,Chrome,iOS,organic_search,GB,,A,False,2,537,48,54.8,0.116,0.0,approved,8,,,WELCOME10
EVT200106,C63020,S2138965827,page_view,2024-03-23 21:31:27,desktop,Firefox,Android,direct,GB,,B,False,5,80,17,31.52,0.084,0.308,,2,,,NONE
EVT200107,C55504,S6764598279,add_to_cart,2024-08-19 15:26:21,mobile,Chrome,Linux,paid_search,AU,,A,False,5,297,50,35.79,0.152,0.057,,10,P5858,Automotive,HOLIDAY20
EVT200108,C16327,S5925958265,payment_attempt,2025-01-01 05:56:28,desktop,Edge,iOS,social,IN,,A,False,4,382,61,25.21,0.168,0.271,declined,10,,,WELCOME10
EVT200109,C67716,S6246032711,add_to_cart,2024-07-19 07:11:31,mobile,Edge,Linux,direct,BR,,B,True,3,232,35,170.42,0.16,0.141,,1,P2505,Sports,NONE
EVT200110,C48097,S5317838889,page_view,2024-08-31 11:55:32,desktop,Opera,Windows,direct,FR,,A,False,5,442,40,34.61,0.052,0.197,,2,,,NONE
EVT200111,C38121,S2519023604,page_view,2025-03-27 01:38:44,desktop,Opera,Windows,direct,GB,,B,True,11,120,40,8.31,0.113,0.101,,10,,,WELCOME10
EVT200112,C80722,S3877330565,page_view,2025-05-11 16:23:41,desktop,Opera,Android,paid_search,IN,,B,True,1,587,48,27.59,0.101,0.0,,1,,,NONE
EVT200113,C20754,S3823628347,add_to_cart,2024-07-22 14:17:29,desktop,Edge,Linux,paid_search,FR,,B,False,5,530,44,53.4,0.135,0.289,,3,P7304,Grocery,NONE
EVT200114,C65852,S6755670290,page_view,2024-11-20 10:09:39,desktop,Safari,Windows,paid_search,IN,,A,True,4,358,40,45.69,0.037,0.207,,4,,,NONE
EVT200115,C10122,S1815582803,page_view,2024-09-21 15:57:26,mobile,Edge,Linux,organic_search,BR,,A,True,1,483,14,35.75,0.095,0.0,,4,,,NONE
EVT200116,C47846,S7306854954,payment_attempt,2025-03-12 18:08:06,desktop,Chrome,Android,organic_search,DE,,B,False,3,341,63,38.94,0.173,0.0,approved,4,,,NONE
EVT200117,C51599,S4888421043,checkout_start,2024-04-10 02:53:54,tablet,Opera,iOS,paid_search,GB,,B,True,2,161,36,75.9,0.193,0.095,,7,,,FREESHIP
EVT200118,C28415,S5129182127,checkout_start,2025-04-26 23:14:18,mobile,Safari,Windows,direct,MX,,B,True,2,149,24,133.06,0.197,0.091,,3,,,NONE
EVT200119,C72606,S3291940544,product_view,2024-03-04 17:16:51,desktop,Safari,iOS,organic_search,FR,,A,False,3,276,32,9.58,0.317,0.132,,1,P8822,Home,FREESHIP
EVT200120,C15434,S5816296116,add_to_cart,2024-04-13 12:45:37,desktop,Chrome,iOS,paid_search,IN,,A,False,3,423,48,131.48,0.128,0.131,,8,P1489,Sports,NONE
EVT200121,C20318,S1412643938,return_initiated,2025-04-16 20:08:55,mobile,Opera,iOS,social,CA,,B,False,5,80,14,32.66,0.081,0.199,,4,P9002,Toys,NONE
EVT200122,C49802,S4150077088,add_to_cart,2024-01-22 12:06:23,desktop,Firefox,Windows,direct,GB,,A,True,3,293,16,81.17,0.159,0.067,,2,P2309,Apparel,NONE
EVT200123,C61617,S3056243881,page_view,2025-03-12 23:06:25,mobile,Chrome,Android,direct,DE,,B,False,3,469,14,37.16,0.035,0.0,,2,,,NONE
EVT200124,C96033,S4056447887,product_view,2025-02-12 05:24:14,mobile,Firefox,macOS,organic_search,US,OK,B,True,3,259,31,24.61,0.171,0.344,,1,P6923,Electronics,NONE
EVT200125,C66395,S2786924623,page_view,2024-01-06 15:39:34,mobile,Edge,Windows,paid_search,GB,,A,False,3,531,34,5.31,0.191,0.186,,7,,,NONE
EVT200126,C97848,S8457707822,payment_attempt,2025-05-17 08:25:42,mobile,Opera,iOS,direct,FR,,A,True,2,154,44,206.87,0.164,0.0,approved,9,,,NONE
EVT200127,C32021,S1947639181,add_to_cart,2025-02-22 11:37:50,mobile,Firefox,Linux,direct,GB,,B,True,3,472,43,166.67,0.221,0.0,,3,P9035,Sports,HOLIDAY20
EVT200128,C33244,S6421322530,add_to_cart,2024-04-23 09:25:38,mobile,Firefox,Android,email,CA,,B,True,2,323,24,129.57,0.021,0.452,,9,P8915,Beauty,NONE
EVT200129,C35754,S1858618277,page_view,2024-07-25 23:10:16,mobile,Opera,Linux,organic_search,FR,,A,True,3,215,37,36.29,0.01,0.176,,2,,,NONE
EVT200130,C76501,S1146077041,page_view,2024-07-13 17:57:46,mobile,Firefox,iOS,organic_search,CA,,B,True,4,428,47,0.21,0.21,0.224,,8,,,NONE
EVT200131,C74427,S8021521948,purchase,2025-06-01 00:36:12,mobile,Safari,iOS,affiliate,FR,,A,False,6,395,63,76.29,0.217,0.396,approved,1,P2242,Beauty,FREESHIP
EVT200132,C60971,S3496311336,add_to_cart,2024-11-16 01:18:39,mobile,Opera,Linux,direct,US,SD,B,True,4,271,42,84.93,0.187,0.108,,7,P3019,Electronics,NONE
EVT200133,C72656,S4628023932,purchase,2024-09-29 03:28:21,desktop,Edge,Android,paid_search,IN,,B,True,4,376,20,126.73,0.145,0.176,approved,7,P5732,Sports,WELCOME10
EVT200134,C90964,S7256827574,add_to_cart,2024-11-06 09:37:00,desktop,Firefox,macOS,social,BR,,A,True,5,664,53,105.4,0.109,0.199,,3,P1808,Sports,FREESHIP
EVT200135,C74347,S4897801874,page_view,2024-12-08 07:18:25,mobile,Edge,macOS,social,CA,,A,True,5,269,35,4.95,0.232,0.0,,10,,,NONE
EVT200136,C94003,S6373238659,checkout_start,2025-05-15 09:40:35,mobile,Opera,Android,social,DE,,B,False,5,293,6,75.1,0.208,0.049,,2,,,WELCOME10
EVT200137,C70877,S8300815717,product_view,2024-10-01 13:35:22,desktop,Chrome,Windows,organic_search,DE,,B,False,4,288,39,39.78,0.109,0.173,,10,P1800,Electronics,WELCOME10
EVT200138,C98207,S4434337668,product_view,2025-03-15 01:10:35,mobile,Chrome,iOS,social,MX,,A,True,3,210,49,44.99,0.086,0.0,,1,P8421,Books,NONE
EVT200139,C16948,S3834933303,product_view,2024-07-25 07:39:55,desktop,Firefox,Linux,direct,GB,,A,True,2,382,39,11.21,0.087,0.066,,5,P4906,Apparel,FREESHIP
EVT200140,C71189,S7716983056,page_view,2024-08-06 02:04:06,mobile,Edge,macOS,paid_search,US,MS,A,True,4,454,49,23.35,0.021,0.258,,7,,,VIP25
EVT200141,C23549,S7126586879,add_to_cart,2025-01-11 07:39:57,mobile,Safari,Android,paid_search,BR,,B,True,4,420,9,176.96,0.089,0.0,,10,P6243,Grocery,NONE
EVT200142,C89061,S3246030580,page_view,2024-06-23 10:55:59,desktop,Firefox,iOS,direct,BR,,B,True,4,376,14,33.52,0.218,0.409,,5,,,NONE
EVT200143,C84293,S1828987773,add_to_cart,2025-01-05 11:37:52,mobile,Opera,Linux,email,AU,,A,True,8,621,41,78.6,0.118,0.091,,6,P6951,Toys,WELCOME10
EVT200144,C77380,S6829499829,checkout_start,2024-10-29 14:24:05,desktop,Safari,iOS,paid_search,AU,,B,False,5,256,70,125.22,0.142,0.198,,9,,,NONE
EVT200145,C77278,S7491430524,add_to_cart,2024-09-25 00:19:26,desktop,Chrome,Linux,direct,US,TX,A,False,5,413,35,24.3,0.177,0.062,,4,P8536,Home,NONE
EVT200146,C63406,S5462215051,product_view,2025-04-20 22:32:43,mobile,Edge,macOS,paid_search,FR,,B,False,3,311,72,32.06,0.176,0.062,,5,P7818,Books,NONE
EVT200147,C30315,S2938910112,payment_attempt,2024-12-30 12:19:21,desktop,Chrome,Windows,direct,GB,,B,True,4,353,74,46.54,0.139,0.051,approved,3,,,NONE
EVT200148,C76783,S1364004215,purchase,2025-05-14 04:59:02,desktop,Chrome,iOS,direct,CA,,B,False,6,504,56,198.89,0.194,0.377,approved,5,P7044,Beauty,HOLIDAY20
EVT200149,C83011,S9617739150,page_view,2024-02-12 23:17:32,desktop,Safari,Windows,paid_search,US,AZ,B,False,4,254,12,30.28,0.066,0.0,,4,,,FREESHIP
EVT200150,C93736,S9977135245,purchase,2024-05-21 18:17:58,desktop,Opera,Linux,direct,IN,,A,False,4,363,23,72.03,0.144,0.209,approved,7,P3517,Apparel,FREESHIP
EVT200151,C53333,S5759975781,add_to_cart,2025-05-27 10:36:57,desktop,Safari,Windows,paid_search,US,KY,A,True,5,385,41,203.22,0.119,0.17,,8,P9062,Grocery,NONE
