order_id,customer_id,order_datetime,ship_datetime,channel,device_type,browser,country,state,payment_method,campaign,primary_category,num_distinct_items,subtotal_usd,discount_rate,discount_amount_usd,shipping_method,shipping_cost_usd,tax_rate,tax_amount_usd,order_total_usd,order_weight_kg,delivery_days,on_time_delivery,authorization_approved,returned
ORD100011,C50158,2024-02-12 17:55:05,2024-02-14 17:55:05,marketplace,tablet,Safari,FR,NV,card,None,Beauty,2,90.27,0.207,18.69,two_day,9.21,0.0,0.0,80.79,0.1,2,True,True,False
ORD100012,C35351,2025-05-31 19:39:08,2025-06-02 19:39:08,ios_app,desktop,Edge,US,KY,paypal,NewArrivals,Books,2,738.92,0.239,176.6,two_day,17.05,0.0832,46.79,626.16,0.1,2,True,False,False
ORD100013,C60517,2024-02-07 18:55:08,2024-02-09 18:55:08,marketplace,desktop,Firefox,US,VT,google_pay,Holiday,Beauty,2,63.53,0.099,6.29,two_day,8.69,0.09,5.15,71.08,0.56,2,True,True,False
ORD100014,C16801,2024-04-27 15:33:31,2024-05-03 15:33:31,marketplace,mobile,Chrome,US,IN,paypal,None,Apparel,1,237.18,0.084,19.92,standard,3.58,0.0567,12.32,233.16,1.05,6,False,True,False
ORD100015,C25485,2025-02-14 02:45:22,2025-02-19 02:45:22,marketplace,tablet,Chrome,US,WI,card,NewArrivals,Pets,1,70.8,0.225,15.93,standard,9.79,0.056,3.07,67.73,0.1,5,True,True,False
ORD100016,C31732,2024-05-28 15:24:19,2024-06-04 15:24:19,web,mobile,Chrome,US,MO,klarna,NewArrivals,Home,3,1464.38,0.0,0.0,standard,8.7,0.0689,100.9,1573.98,0.81,7,False,True,False
ORD100017,C15713,2025-05-31 10:37:38,2025-06-02 10:37:38,mobile_web,tablet,Opera,CA,ND,klarna,SpringSale,Electronics,2,474.48,0.155,73.54,two_day,8.16,0.0,0.0,409.1,0.1,2,True,True,False
ORD100018,C90642,2025-03-01 08:32:52,2025-03-07 08:32:52,web,desktop,Chrome,US,MI,card,None,Beauty,1,389.22,0.239,93.02,standard,6.64,0.0789,23.37,326.21,1.34,6,False,True,False
ORD100019,C52808,2025-03-24 03:35:11,2025-03-29 03:35:11,mobile_web,tablet,Firefox,US,NE,google_pay,None,Apparel,2,357.39,0.138,49.32,standard,4.03,0.0845,26.03,338.13,1.83,5,True,True,False
ORD100020,C83477,2025-02-13 18:23:48,2025-02-17 18:23:48,ios_app,tablet,Chrome,US,RI,apple_pay,SpringSale,Books,1,1798.9,0.034,61.16,standard,8.75,0.0467,81.15,1827.64,0.3,4,True,True,True
ORD100021,C26907,2024-06-08 12:08:57,2024-06-10 12:08:57,marketplace,tablet,Chrome,US,VT,paypal,Loyalty,Pets,2,77.13,0.165,12.73,two_day,10.83,0.09,5.8,81.03,1.0,2,True,True,False
ORD100022,C25034,2024-05-01 03:23:35,2024-05-06 03:23:35,android_app,desktop,Safari,US,SC,paypal,Holiday,Home,1,36.41,0.076,2.77,standard,9.23,0.0561,1.89,44.76,0.63,5,True,True,False
ORD100023,C36734,2024-10-28 23:08:19,2024-11-02 23:08:19,android_app,tablet,Safari,US,GA,card,Holiday,Beauty,2,131.46,0.105,13.8,standard,5.0,0.0876,10.31,132.97,0.13,5,True,True,True
ORD100024,C14324,2024-05-12 10:09:34,2024-05-14 10:09:34,web,mobile,Firefox,DE,WI,card,NewArrivals,Books,2,347.45,0.183,63.58,two_day,11.85,0.0,0.0,295.72,0.63,2,True,True,False
ORD100025,C19865,2024-10-04 15:26:35,2024-10-09 15:26:35,marketplace,desktop,Chrome,US,WI,card,Clearance,Books,2,459.61,0.131,60.21,standard,8.05,0.056,22.37,429.82,0.1,5,True,True,False
ORD100026,C40523,2025-01-03 03:38:05,2025-01-05 03:38:05,ios_app,mobile,Safari,US,NE,google_pay,Holiday,Automotive,1,200.62,0.131,26.28,two_day,10.79,0.0845,14.73,199.86,1.61,2,True,True,False
ORD100027,C14018,2025-01-08 23:20:18,2025-01-12 23:20:18,android_app,tablet,Opera,US,DC,card,Holiday,Grocery,2,1802.33,0.247,445.18,standard,6.76,0.0764,103.69,1467.6,0.33,4,True,True,False
ORD100028,C30103,2025-04-06 22:17:40,2025-04-11 22:17:40,ios_app,tablet,Edge,US,DE,google_pay,NewArrivals,Sports,3,750.19,0.088,66.02,standard,3.48,0.0,0.0,687.65,0.1,5,True,True,False
ORD100029,C44560,2024-07-11 00:47:41,2024-07-15 00:47:41,web,desktop,Firefox,US,NM,klarna,Holiday,Sports,1,186.72,0.221,41.27,standard,9.44,0.0931,13.54,168.43,0.3,4,True,True,False
ORD100030,C51914,2024-11-19 02:10:02,2024-11-23 02:10:02,marketplace,desktop,Chrome,US,OH,klarna,Clearance,Toys,1,92.12,0.138,12.71,standard,4.29,0.0432,3.43,87.13,0.25,4,True,True,False
ORD100031,C43719,2025-01-04 07:29:22,2025-01-09 07:29:22,ios_app,mobile,Chrome,US,VT,apple_pay,Holiday,Apparel,2,207.92,0.209,43.46,standard,8.61,0.09,14.8,187.87,2.7,5,True,True,False
ORD100032,C86534,2024-07-12 07:14:10,2024-07-17 07:14:10,marketplace,tablet,Firefox,US,GA,card,Clearance,Books,1,60.56,0.054,3.27,standard,5.05,0.0876,5.02,67.36,1.59,5,True,True,True
ORD100033,C63394,2025-04-20 06:02:36,2025-04-22 06:02:36,mobile_web,desktop,Opera,US,CT,google_pay,Holiday,Apparel,1,68.15,0.173,11.79,two_day,18.33,0.0683,3.85,78.54,0.17,2,True,False,False
ORD100034,C58285,2024-05-31 22:11:03,2024-06-01 22:11:03,web,mobile,Firefox,US,SC,card,BackToSchool,Books,2,204.97,0.129,26.44,overnight,16.68,0.0561,10.02,205.23,0.36,1,True,True,False
ORD100035,C26725,2025-04-11 23:03:20,2025-04-17 23:03:20,web,desktop,Safari,US,MS,klarna,Loyalty,Sports,1,13.29,0.225,2.99,standard,7.22,0.0436,0.45,17.97,0.2,6,False,True,False
ORD100036,C34762,2024-01-13 06:20:22,2024-01-20 06:20:22,marketplace,desktop,Safari,AU,ND,google_pay,Holiday,Home,2,118.58,0.021,2.49,standard,8.73,0.0,0.0,124.82,1.12,7,False,True,False
ORD100037,C61474,2024-04-14 05:17:24,2024-04-21 05:17:24,android_app,mobile,Firefox,US,IN,klarna,Loyalty,Sports,2,1609.68,0.102,164.19,standard,6.98,0.0567,81.96,1534.43,1.73,7,False,True,False
ORD100038,C90559,2024-10-20 15:20:39,2024-10-21 15:20:39,android_app,tablet,Firefox,US,SC,paypal,Holiday,Grocery,1,52.2,0.218,11.38,overnight,16.63,0.0561,2.29,59.74,0.27,1,True,True,False
ORD100039,C37345,2024-08-13 20:08:00,2024-08-15 20:08:00,ios_app,mobile,Safari,CA,ME,apple_pay,None,Apparel,4,1206.94,0.067,80.86,two_day,8.21,0.0,0.0,1134.29,3.08,2,True,True,False
ORD100040,C53001,2024-02-25 09:25:56,2024-02-27 09:25:56,ios_app,mobile,Opera,US,RI,paypal,SpringSale,Beauty,1,68.65,0.121,8.31,two_day,8.44,0.0467,2.82,71.6,2.21,2,True,True,False
ORD100041,C76262,2025-03-12 17:58:08,2025-03-17 17:58:08,mobile_web,tablet,Safari,US,VT,paypal,NewArrivals,Books,3,754.48,0.095,71.68,standard,8.15,0.09,61.45,752.4,0.23,5,True,True,True
ORD100042,C80831,2024-03-08 05:37:21,2024-03-12 05:37:21,web,mobile,Opera,FR,WA,klarna,None,Home,1,330.9,0.195,64.53,standard,9.07,0.0,0.0,275.44,0.86,4,True,True,False
ORD100043,C96206,2024-05-15 01:04:37,2024-05-21 01:04:37,mobile_web,mobile,Firefox,UK,DE,klarna,NewArrivals,Apparel,3,932.26,0.16,149.16,standard,5.39,0.0,0.0,788.49,0.7,6,False,False,True
ORD100044,C93807,2024-09-16 22:34:11,2024-09-20 22:34:11,web,mobile,Chrome,US,IN,paypal,SpringSale,Apparel,3,5148.51,0.044,226.53,standard,8.56,0.0567,279.08,5209.62,0.83,4,True,True,True
ORD100045,C13093,2024-11-10 22:06:02,2024-11-17 22:06:02,marketplace,desktop,Opera,US,MT,apple_pay,None,Home,1,537.97,0.118,63.48,standard,3.22,0.0,0.0,477.71,0.74,7,False,True,False
ORD100046,C31563,2024-01-29 15:29:28,2024-01-31 15:29:28,mobile_web,tablet,Firefox,US,GA,klarna,SpringSale,Sports,3,1307.43,0.122,159.51,two_day,16.17,0.0876,100.56,1264.65,0.35,2,True,False,False
ORD100047,C51688,2024-02-07 03:40:16,2024-02-08 03:40:16,ios_app,desktop,Chrome,US,NH,google_pay,None,Toys,2,278.52,0.048,13.37,overnight,18.32,0.0,0.0,283.47,0.59,1,True,True,False
ORD100048,C19078,2025-06-21 18:10:56,2025-06-22 18:10:56,web,tablet,Chrome,US,FL,paypal,None,Books,2,748.29,0.104,77.82,overnight,16.51,0.0803,53.84,740.82,0.2,1,True,True,False
ORD100049,C30022,2024-03-12 05:09:01,2024-03-16 05:09:01,mobile_web,mobile,Safari,US,NV,apple_pay,BackToSchool,Books,5,1159.23,0.144,166.93,standard,9.39,0.0734,72.83,1074.52,0.17,4,True,True,False
ORD100050,C37490,2025-05-30 18:06:17,2025-06-01 18:06:17,mobile_web,mobile,Safari,US,AK,klarna,None,Pets,1,489.48,0.105,51.4,two_day,19.63,0.0,0.0,457.71,0.21,2,True,True,False
ORD100051,C71367,2024-10-26 23:45:39,2024-10-27 23:45:39,mobile_web,tablet,Safari,US,ND,klarna,Holiday,Pets,1,53.2,0.052,2.77,overnight,15.92,0.0419,2.11,68.46,0.93,1,True,True,False
ORD100052,C36155,2025-03-16 20:42:31,2025-03-22 20:42:31,android_app,mobile,Safari,US,MT,card,Holiday,Beauty,1,25.73,0.25,6.43,standard,5.78,0.0,0.0,25.08,0.46,6,False,True,True
ORD100053,C71212,2025-02-28 16:32:56,2025-03-04 16:32:56,android_app,mobile,Edge,US,RI,klarna,SpringSale,Apparel,1,110.05,0.184,20.25,standard,9.08,0.0467,4.19,103.07,0.14,4,True,True,False
ORD100054,C98009,2024-04-04 00:02:37,2024-04-09 00:02:37,android_app,tablet,Chrome,US,GA,google_pay,NewArrivals,Home,4,1527.67,0.108,164.99,standard,5.08,0.0876,119.37,1487.13,0.73,5,True,True,False
ORD100055,C19108,2024-09-26 09:57:38,2024-10-01 09:57:38,ios_app,mobile,Safari,US,VT,apple_pay,Clearance,Automotive,2,145.9,0.196,28.6,standard,6.34,0.09,10.56,134.2,0.35,5,True,True,False
ORD100056,C68348,2025-05-06 19:18:44,2025-05-09 19:18:44,web,tablet,Firefox,US,ND,google_pay,None,Toys,1,212.84,0.302,64.28,standard,3.63,0.0419,6.22,158.41,0.89,3,True,True,False
ORD100057,C96365,2025-04-06 00:43:54,2025-04-12 00:43:54,web,mobile,Opera,US,ID,paypal,None,Beauty,2,438.77,0.199,87.32,standard,7.28,0.0454,15.96,374.69,0.37,6,False,True,False
ORD100058,C44084,2024-09-14 18:32:35,2024-09-20 18:32:35,mobile_web,tablet,Edge,US,ID,paypal,Holiday,Apparel,1,70.85,0.056,3.97,standard,4.44,0.0454,3.04,74.36,0.71,6,False,True,False
ORD100059,C96936,2024-06-18 12:54:25,2024-06-23 12:54:25,marketplace,tablet,Chrome,US,MO,card,SpringSale,Books,1,60.7,0.078,4.73,standard,3.6,0.0689,3.86,63.43,1.57,5,True,True,False
ORD100060,C78008,2025-01-21 18:50:14,2025-01-26 18:50:14,android_app,tablet,Opera,US,TX,paypal,NewArrivals,Automotive,1,583.58,0.081,47.27,standard,6.94,0.0923,49.5,592.75,2.21,5,True,True,False
ORD100061,C10207,2024-06-09 10:58:49,2024-06-14 10:58:49,android_app,tablet,Opera,US,TN,google_pay,None,Toys,5,877.74,0.126,110.6,standard,9.95,0.0864,66.28,843.37,1.33,5,True,True,False
ORD100062,C35169,2024-05-26 15:33:00,2024-06-01 15:33:00,ios_app,tablet,Edge,US,UT,card,Holiday,Home,1,1176.6,0.128,150.6,standard,7.24,0.0726,74.49,1107.73,1.01,6,False,True,False
ORD100063,C60200,2025-05-14 22:19:56,2025-05-17 22:19:56,android_app,desktop,Edge,US,MS,google_pay,None,Beauty,1,109.72,0.187,20.52,standard,4.06,0.0436,3.89,97.15,0.1,3,True,True,False
ORD100064,C59841,2025-06-26 02:50:36,2025-06-30 02:50:36,ios_app,desktop,Chrome,US,SC,google_pay,Holiday,Home,1,282.62,0.089,25.15,standard,7.59,0.0561,14.44,279.5,1.32,4,True,True,False
ORD100065,C61196,2025-06-05 06:34:10,2025-06-10 06:34:10,marketplace,mobile,Opera,US,AZ,paypal,SpringSale,Sports,1,63.22,0.094,5.94,standard,3.08,0.0517,2.96,63.32,0.19,5,True,False,False
ORD100066,C10163,2024-01-18 22:55:30,2024-01-23 22:55:30,marketplace,mobile,Edge,US,CO,paypal,Holiday,Apparel,2,149.27,0.177,26.42,standard,3.27,0.0737,9.05,135.17,1.62,5,True,True,False
ORD100067,C38602,2025-02-12 08:30:40,2025-02-15 08:30:40,android_app,desktop,Opera,FR,AL,klarna,SpringSale,Grocery,2,175.62,0.096,16.86,standard,4.3,0.0,0.0,163.06,0.13,3,True,True,False
ORD100068,C15439,2024-04-30 09:25:29,2024-05-03 09:25:29,web,mobile,Safari,US,OK,apple_pay,SpringSale,Beauty,2,181.46,0.168,30.49,standard,3.9,0.087,13.13,168.0,0.29,3,True,False,False
ORD100069,C48714,2024-06-08 21:57:33,2024-06-13 21:57:33,android_app,desktop,Edge,US,MN,apple_pay,None,Books,5,870.47,0.205,178.45,standard,8.31,0.0477,33.01,733.34,0.95,5,True,True,True
ORD100070,C39725,2024-04-16 07:15:36,2024-04-18 07:15:36,mobile_web,desktop,Edge,US,ND,klarna,None,Beauty,1,132.0,0.046,6.07,two_day,12.26,0.0419,5.28,143.47,1.07,2,True,True,True
ORD100071,C20805,2024-08-14 10:52:59,2024-08-16 10:52:59,marketplace,desktop,Edge,US,AZ,apple_pay,Loyalty,Grocery,2,92.02,0.161,14.82,two_day,8.35,0.0517,3.99,89.54,0.13,2,True,True,False
ORD100072,C78099,2025-05-17 13:21:32,2025-05-20 13:21:32,android_app,mobile,Safari,US,TN,paypal,Clearance,Home,2,98.34,0.071,6.98,standard,4.54,0.0864,7.89,103.79,0.64,3,True,True,False
ORD100073,C85564,2024-03-20 18:55:28,2024-03-25 18:55:28,android_app,tablet,Chrome,US,AK,paypal,Clearance,Pets,2,1110.8,0.121,134.41,standard,4.58,0.0,0.0,980.97,0.33,5,True,True,False
ORD100074,C35279,2024-05-23 20:41:07,2024-05-26 20:41:07,web,desktop,Edge,UK,ID,card,SpringSale,Pets,2,1114.05,0.109,121.43,standard,8.44,0.0,0.0,1001.06,0.1,3,True,True,True
ORD100075,C28681,2024-04-17 21:26:44,2024-04-22 21:26:44,mobile_web,tablet,Edge,US,OH,klarna,SpringSale,Books,1,162.09,0.24,38.9,standard,6.96,0.0432,5.32,135.47,0.44,5,True,False,False
ORD100076,C16304,2025-06-12 00:20:01,2025-06-14 00:20:01,web,desktop,Opera,US,ME,klarna,None,Automotive,2,376.84,0.121,45.6,two_day,16.99,0.0642,21.27,369.5,0.24,2,True,True,True
ORD100077,C26994,2024-09-09 14:33:35,2024-09-11 14:33:35,marketplace,mobile,Edge,US,VT,google_pay,Holiday,Books,1,323.52,0.208,67.29,two_day,17.01,0.09,23.06,296.3,0.57,2,True,True,True
ORD100078,C33648,2024-01-06 03:19:05,2024-01-09 03:19:05,mobile_web,tablet,Firefox,US,SC,klarna,None,Books,1,34.97,0.05,1.75,standard,9.28,0.0561,1.86,44.36,0.51,3,True,True,False
ORD100079,C47711,2024-07-04 04:58:20,2024-07-06 04:58:20,web,desktop,Opera,US,WY,google_pay,Loyalty,Sports,1,15.84,0.167,2.65,two_day,19.61,0.0542,0.71,33.51,0.38,2,True,False,False
ORD100080,C11283,2024-12-10 09:07:49,2024-12-11 09:07:49,ios_app,desktop,Edge,US,OR,card,Loyalty,Automotive,1,354.62,0.06,21.28,overnight,26.78,0.0,0.0,360.12,1.21,1,True,True,False
ORD100081,C19346,2024-08-27 16:46:03,2024-08-31 16:46:03,mobile_web,mobile,Chrome,US,CO,klarna,Holiday,Apparel,1,62.42,0.21,13.11,standard,8.89,0.0737,3.63,61.83,0.45,4,True,False,False
ORD100082,C97969,2024-04-30 06:40:34,2024-05-03 06:40:34,android_app,desktop,Firefox,US,ID,google_pay,None,Toys,1,190.26,0.178,33.87,standard,3.41,0.0454,7.1,166.9,1.6,3,True,True,False
ORD100083,C68810,2024-03-21 06:08:26,2024-03-25 06:08:26,ios_app,tablet,Firefox,AU,AZ,google_pay,SpringSale,Books,2,1546.72,0.088,136.11,standard,5.13,0.0,0.0,1415.74,1.24,4,True,True,False
ORD100084,C60085,2025-06-24 11:04:20,2025-06-27 11:04:20,web,desktop,Firefox,US,UT,klarna,BackToSchool,Pets,1,881.1,0.181,159.48,standard,3.24,0.0726,52.39,777.25,0.61,3,True,False,False
ORD100085,C60500,2024-04-24 16:39:11,2024-04-26 16:39:11,marketplace,desktop,Chrome,US,FL,klarna,SpringSale,Home,3,760.08,0.085,64.61,two_day,14.15,0.0803,55.85,765.47,0.1,2,True,True,False
ORD100086,C10193,2024-10-22 11:11:19,2024-10-28 11:11:19,web,mobile,Chrome,US,CA,klarna,Holiday,Automotive,3,332.95,0.0,0.0,standard,4.53,0.0931,31.0,368.48,0.35,6,False,True,False
ORD100087,C80448,2025-01-17 08:19:52,2025-01-19 08:19:52,web,tablet,Opera,US,CO,apple_pay,SpringSale,Electronics,1,589.4,0.029,17.09,two_day,11.56,0.0737,42.18,626.05,0.89,2,True,False,False
ORD100088,C89190,2025-01-13 03:45:48,2025-01-15 03:45:48,mobile_web,mobile,Safari,US,VT,google_pay,Holiday,Beauty,1,39.33,0.166,6.53,two_day,16.02,0.09,2.95,51.77,0.79,2,True,True,False
ORD100089,C88033,2024-12-15 19:24:37,2024-12-19 19:24:37,ios_app,desktop,Safari,US,FL,klarna,SpringSale,Books,3,1127.38,0.118,133.03,standard,6.8,0.0803,79.85,1081.0,1.39,4,True,True,False
ORD100090,C94162,2024-02-26 17:40:59,2024-02-28 17:40:59,mobile_web,tablet,Chrome,US,SC,google_pay,Holiday,Books,1,40.14,0.222,8.91,two_day,12.09,0.0561,1.75,45.07,0.1,2,True,True,False
ORD100091,C32852,2024-09-16 10:10:41,2024-09-18 10:10:41,android_app,desktop,Opera,US,VA,paypal,Holiday,Books,5,1435.25,0.228,327.24,two_day,13.73,0.0933,103.38,1225.12,0.53,2,True,True,False
ORD100092,C74386,2024-09-28 07:56:25,2024-09-30 07:56:25,web,desktop,Edge,US,DE,klarna,None,Grocery,2,100.52,0.117,11.76,two_day,16.77,0.0,0.0,105.53,0.11,2,True,True,False
ORD100093,C85774,2025-06-26 00:47:59,2025-07-01 00:47:59,marketplace,mobile,Firefox,US,DE,google_pay,SpringSale,Books,1,638.05,0.231,147.39,standard,6.38,0.0,0.0,497.04,1.39,5,True,True,False
ORD100094,C38064,2024-01-11 12:34:05,2024-01-13 12:34:05,web,tablet,Safari,US,MA,card,None,Apparel,1,257.0,0.033,8.48,two_day,10.88,0.05,12.43,271.83,0.26,2,True,True,True
ORD100095,C60876,2024-08-12 01:47:10,2024-08-14 01:47:10,marketplace,mobile,Firefox,US,WY,apple_pay,NewArrivals,Automotive,2,500.59,0.197,98.62,two_day,8.03,0.0542,21.79,431.79,0.1,2,True,True,False
ORD100096,C96156,2024-06-19 09:39:51,2024-06-21 09:39:51,android_app,tablet,Safari,US,NC,card,NewArrivals,Beauty,1,137.68,0.0,0.0,two_day,8.92,0.0731,10.06,156.66,0.49,2,True,True,False
ORD100097,C56092,2025-06-11 03:34:15,2025-06-15 03:34:15,ios_app,mobile,Opera,US,ID,klarna,Loyalty,Electronics,2,1514.4,0.145,219.59,standard,3.5,0.0454,58.78,1357.09,0.8,4,True,True,False
ORD100098,C24743,2025-03-09 11:30:22,2025-03-14 11:30:22,android_app,tablet,Safari,CA,WA,paypal,Loyalty,Pets,2,59.06,0.07,4.13,standard,3.71,0.0,0.0,58.64,0.31,5,True,True,False
ORD100099,C26209,2024-03-02 23:53:50,2024-03-04 23:53:50,ios_app,desktop,Chrome,DE,MD,paypal,SpringSale,Electronics,4,1491.12,0.209,311.64,two_day,15.61,0.0,0.0,1195.09,1.03,2,True,True,False
ORD100100,C37364,2025-04-26 04:33:16,2025-05-02 04:33:16,ios_app,mobile,Chrome,US,NC,google_pay,NewArrivals,Apparel,1,315.87,0.106,33.48,standard,7.05,0.0731,20.64,310.08,0.1,6,False,True,False
ORD100101,C20293,2024-01-12 18:38:01,2024-01-15 18:38:01,marketplace,mobile,Safari,US,MI,card,SpringSale,Automotive,1,739.88,0.268,198.29,standard,9.14,0.0789,42.73,593.46,0.1,3,True,True,False
ORD100102,C53791,2024-12-28 17:02:38,2024-12-31 17:02:38,marketplace,mobile,Firefox,US,VA,card,SpringSale,Toys,1,67.86,0.254,17.24,standard,7.64,0.0933,4.72,62.98,0.56,3,True,True,False
ORD100103,C98839,2024-04-06 20:32:32,2024-04-10 20:32:32,android_app,tablet,Opera,US,DE,card,None,Apparel,2,1603.73,0.259,415.37,standard,5.56,0.0,0.0,1193.92,0.18,4,True,True,True
ORD100104,C56473,2024-05-11 14:02:34,2024-05-14 14:02:34,android_app,tablet,Firefox,US,GA,card,Holiday,Beauty,1,198.8,0.13,25.84,standard,4.61,0.0876,15.15,192.72,0.1,3,True,True,False
ORD100105,C94703,2024-01-31 00:05:16,2024-02-02 00:05:16,mobile_web,mobile,Safari,US,SD,klarna,Holiday,Home,1,123.2,0.184,22.67,two_day,17.52,0.0672,6.76,124.81,1.35,2,True,True,False
ORD100106,C69234,2025-06-03 04:31:43,2025-06-10 04:31:43,web,mobile,Firefox,US,VA,paypal,None,Beauty,3,1372.96,0.151,207.32,standard,8.85,0.0933,108.75,1283.24,1.07,7,False,True,False
ORD100107,C34532,2024-06-14 07:55:03,2024-06-16 07:55:03,ios_app,mobile,Opera,US,HI,apple_pay,SpringSale,Home,3,402.67,0.204,82.14,two_day,19.91,0.0776,24.87,365.31,0.34,2,True,True,False
ORD100108,C73232,2024-07-22 11:04:25,2024-07-24 11:04:25,mobile_web,tablet,Firefox,US,WI,card,SpringSale,Automotive,4,379.81,0.182,69.13,two_day,8.39,0.056,17.4,336.47,0.71,2,True,True,False
ORD100109,C56976,2024-06-06 04:29:54,2024-06-12 04:29:54,mobile_web,tablet,Safari,US,NM,card,Holiday,Sports,1,12.63,0.016,0.2,standard,5.92,0.0931,1.16,19.51,0.52,6,False,True,False
ORD100110,C95076,2024-12-17 07:52:28,2024-12-23 07:52:28,android_app,mobile,Firefox,US,MN,google_pay,NewArrivals,Sports,2,187.37,0.148,27.73,standard,4.05,0.0477,7.61,171.3,0.34,6,False,True,False
ORD100111,C40881,2024-04-07 23:51:25,2024-04-14 23:51:25,web,tablet,Chrome,US,MI,apple_pay,Loyalty,Toys,2,172.31,0.24,41.35,standard,8.95,0.0789,10.33,150.24,0.3,7,False,True,True
ORD100112,C72021,2025-01-07 02:29:25,2025-01-11 02:29:25,android_app,tablet,Opera,US,IN,card,Holiday,Automotive,1,608.97,0.126,76.73,standard,4.64,0.0567,30.18,567.06,0.85,4,True,True,False
ORD100113,C20578,2025-01-18 19:26:44,2025-01-24 19:26:44,ios_app,tablet,Edge,US,IL,apple_pay,None,Pets,1,60.6,0.162,9.82,standard,4.75,0.0486,2.47,58.0,0.69,6,False,True,False
ORD100114,C56289,2024-04-16 14:59:27,2024-04-20 14:59:27,ios_app,desktop,Firefox,US,VA,google_pay,Clearance,Electronics,1,159.08,0.217,34.52,standard,3.5,0.0933,11.62,139.68,0.16,4,True,True,False
ORD100115,C91486,2024-12-04 19:45:26,2024-12-09 19:45:26,marketplace,mobile,Safari,US,CT,card,None,Automotive,2,827.84,0.049,40.56,standard,7.24,0.0683,53.77,848.29,0.51,5,True,True,False
ORD100116,C98229,2024-06-13 21:14:01,2024-06-16 21:14:01,ios_app,desktop,Edge,DE,CT,google_pay,Holiday,Home,2,132.67,0.115,15.26,standard,7.11,0.0,0.0,124.52,0.85,3,True,True,False
ORD100117,C52051,2024-06-03 04:16:48,2024-06-10 04:16:48,marketplace,mobile,Safari,US,MI,card,Holiday,Toys,1,1014.9,0.149,151.22,standard,6.59,0.0789,68.14,938.41,0.4,7,False,False,False
ORD100118,C85945,2025-06-27 05:17:07,2025-07-02 05:17:07,android_app,tablet,Chrome,US,SC,card,SpringSale,Apparel,1,61.29,0.165,10.11,standard,9.53,0.0561,2.87,63.58,0.55,5,True,True,False
ORD100119,C20103,2024-06-12 06:40:26,2024-06-15 06:40:26,marketplace,mobile,Firefox,US,ME,card,Holiday,Electronics,3,497.82,0.163,81.14,standard,5.11,0.0642,26.75,448.54,0.49,3,True,True,False
